127.0.0.1 - - [04/Dec/2019:08:54:17 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:21 +0530] "GET /BloodBank/Designs/index.jsp HTTP/1.1" 200 35111
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/cardiogram.png HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/emergency-call.png HTTP/1.1" 200 1022
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/stomach-2.png HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/blood-sample-2.png HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/stretcher.png HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/teeth.png HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/scanner.png HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/bones.png HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/blood-donation-2.png HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/glasses.png HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/user-1.jpg HTTP/1.1" 200 4291
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/user-2.jpg HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/user-3.jpg HTTP/1.1" 200 2715
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/user-4.jpg HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/news-1.png HTTP/1.1" 200 158859
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/news-2.png HTTP/1.1" 200 165013
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/news-3.png HTTP/1.1" 200 129609
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/departments-bg.jpg HTTP/1.1" 200 169756
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:22 +0530] "GET /BloodBank/Designs/images/subscribe-bg.png HTTP/1.1" 200 698938
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:23 +0530] "GET /BloodBank/Designs/images/hero.jpg HTTP/1.1" 200 120124
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:23 +0530] "GET /BloodBank/Designs/images/testimonial-bg.jpg HTTP/1.1" 200 97941
0:0:0:0:0:0:0:1 - - [04/Dec/2019:08:54:23 +0530] "GET /BloodBank/Designs/images/testimonial-p-bg.png HTTP/1.1" 200 1785
